TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
ITIT11;72,30;6,09;0,87;32.278,38;1,92;;;74.942.876,77;5.552,00;Passiva;
RBTS11;1.000,00;5,97;0,89;;3,71;;;63.657.349,16;56,00;Ativa;
BBRC11;100,30;10,74;0,93;139.910,83;4,43;-1,19;-9,99;170.840.969,91;9.137,00;Passiva;
HCTR11;124,84;17,00;1,06;7.811.650,58;2,55;;;2.387.196.759,76;158.097,00;Ativa;
HPDP11;83,49;3,67;0,88;10.609,59;1,50;;;275.896.915,88;373,00;Passiva;
PRZS11;0,00;0,00;;;3,77;;;58.481.291,57;20,00;Ativa;
RBRD11;43,00;2,40;0,60;44.611,98;2,93;-49,02;-21,69;133.675.336,89;10.805,00;Passiva;
PNPR11;0,00;0,00;;;6,36;;;63.382.007,33;13,00;Ativa;
SALI11;0,00;0,00;;;3,50;;;8.032.117,91;2,00;Passiva;
GTWR11;84,35;8,82;0,86;775.504,45;0,54;;;1.181.864.977,66;26.320,00;Ativa;
MMVE11;0,00;0,00;;;1,41;;;35.487.892,68;9,00;Ativa;
PLCR11;88,50;11,19;0,95;402.913,73;12,30;;;195.937.545,58;9.452,00;Ativa;
MXRF11;9,10;9,56;0,89;7.624.661,08;0,51;-0,35;-6,99;2.321.102.708,40;488.875,00;Ativa;
BLMC11;99,60;8,92;0,97;5.279,67;8,86;;;40.835.425,67;89,00;Ativa;
ZIFI11;1.198,95;0,00;1,09;118.477,25;0,07;;;22.834.713,09;22,00;Ativa;
DVFF11;93,11;3,92;1,00;389.341,38;18,89;;;103.014.517,94;232,00;Ativa;
BTSI11;0,00;0,00;;;0,16;;;55.481.269,17;52,00;Ativa;
IBCR11;96,21;8,94;0,97;292.357,30;6,37;;;79.447.521,22;670,00;Ativa;
FMOF11;65,15;0,05;0,53;1.637,09;1,25;20,42;-9,54;62.344.380,89;326,00;Passiva;
ATSA11;94,00;0,00;1,06;12.490,77;1,03;;-2,10;155.087.136,20;266,00;Passiva;
RBRR11;100,05;9,77;0,99;3.000.283,30;4,80;11,97;-1,88;1.043.340.841,05;84.578,00;Ativa;
VGIP11;100,35;13,89;1,04;3.811.853,20;19,47;;;893.160.931,17;50.514,00;Ativa;
